ID,Suburb,Postcode,Region,StressLevel,MainChallenge,AccessToServices,KidsUnder5,Latitude,Longitude
1,Kalgoorlie,6430,Goldfields,2,Mental health support,Yes,Yes,-30.7489,121.4659
2,Bunbury,6230,South West,5,Healthcare access,Yes,No,-33.3271,115.6414
3,Albany,6330,Great Southern,4,Education services,Yes,No,-35.0231,117.883
4,Joondalup,6027,Metro North,5,Healthcare access,No,Yes,-31.745,115.7662
5,Bunbury,6230,South West,1,Mental health support,No,Yes,-33.3271,115.6414
6,Albany,6330,Great Southern,2,Childcare access,Yes,Yes,-35.0231,117.883
7,Geraldton,6530,Mid West,3,Cost of living,No,No,-28.7783,114.6144
8,Kalgoorlie,6430,Goldfields,3,Mental health support,No,No,-30.7489,121.4659
9,Broome,6725,Kimberley,4,Cost of living,Yes,Yes,-17.9614,122.2359
10,Fremantle,6160,Metro South,3,Work-life balance,No,Yes,-32.0569,115.7439
11,Geraldton,6530,Mid West,5,Work-life balance,Yes,Yes,-28.7783,114.6144
12,Fremantle,6160,Metro South,4,Work-life balance,No,No,-32.0569,115.7439
13,Albany,6330,Great Southern,3,Mental health support,Yes,Yes,-35.0231,117.883
14,Albany,6330,Great Southern,1,Childcare access,No,Yes,-35.0231,117.883
15,Kalgoorlie,6430,Goldfields,2,Education services,Yes,Yes,-30.7489,121.4659
16,Joondalup,6027,Metro North,4,Cost of living,Yes,Yes,-31.745,115.7662
17,Fremantle,6160,Metro South,4,Cost of living,No,Yes,-32.0569,115.7439
18,Fremantle,6160,Metro South,1,Education services,Yes,Yes,-32.0569,115.7439
19,Belmont,6104,Metro East,3,Healthcare access,Yes,Yes,-31.955,115.946
20,Belmont,6104,Metro East,5,Healthcare access,No,Yes,-31.955,115.946
21,Geraldton,6530,Mid West,5,Education services,No,Yes,-28.7783,114.6144
22,Joondalup,6027,Metro North,3,Childcare access,Yes,No,-31.745,115.7662
23,Mandurah,6210,Peel,2,Education services,No,Yes,-32.5269,115.7216
24,Albany,6330,Great Southern,4,Work-life balance,No,No,-35.0231,117.883
25,Broome,6725,Kimberley,3,Childcare access,No,No,-17.9614,122.2359
26,Midland,6056,Metro East,5,Childcare access,No,No,-31.8894,116.0078
27,Broome,6725,Kimberley,5,Work-life balance,No,No,-17.9614,122.2359
28,Belmont,6104,Metro East,1,Mental health support,Yes,Yes,-31.955,115.946
29,Bunbury,6230,South West,4,Childcare access,No,No,-33.3271,115.6414
30,Albany,6330,Great Southern,2,Cost of living,No,Yes,-35.0231,117.883
31,Belmont,6104,Metro East,5,Childcare access,Yes,Yes,-31.955,115.946
32,Joondalup,6027,Metro North,2,Childcare access,Yes,Yes,-31.745,115.7662
33,Midland,6056,Metro East,1,Healthcare access,Yes,Yes,-31.8894,116.0078
34,Broome,6725,Kimberley,1,Work-life balance,No,Yes,-17.9614,122.2359
35,Broome,6725,Kimberley,3,Healthcare access,Yes,No,-17.9614,122.2359
36,Joondalup,6027,Metro North,4,Cost of living,Yes,No,-31.745,115.7662
37,Belmont,6104,Metro East,3,Work-life balance,Yes,No,-31.955,115.946
38,Midland,6056,Metro East,4,Cost of living,No,No,-31.8894,116.0078
39,Mandurah,6210,Peel,4,Work-life balance,Yes,No,-32.5269,115.7216
40,Mandurah,6210,Peel,4,Healthcare access,No,Yes,-32.5269,115.7216
41,Broome,6725,Kimberley,2,Childcare access,No,Yes,-17.9614,122.2359
42,Bunbury,6230,South West,5,Childcare access,No,Yes,-33.3271,115.6414
43,Midland,6056,Metro East,3,Education services,Yes,Yes,-31.8894,116.0078
